dept_name,gender,emp_no,from_date,to_date,currently_active
"Customer Service",M,112004,2000-05-29,2009-01-15,0
"Customer Service",F,112003,2000-05-29,2008-10-14,0
"Customer Service",F,112002,1999-05-29,2002-01-22,0
"Customer Service",F,112001,1999-05-29,2000-06-27,0
"Customer Service",M,112000,1998-05-29,2000-06-23,0
"Customer Service",M,111952,1994-05-29,2000-05-27,0
"Customer Service",F,111951,1990-06-24,1998-06-22,0
"Customer Service",F,111950,1993-08-25,1998-08-24,0
"Customer Service",M,111949,1992-01-22,1998-01-20,0
"Customer Service",F,111948,1997-01-31,2002-01-30,0
"Customer Service",M,111947,1996-02-01,2001-01-30,0
"Customer Service",M,111946,1995-02-01,2000-01-31,0
"Customer Service",F,111945,1994-02-01,1999-01-31,0
"Customer Service",F,111944,1995-02-03,2001-02-01,0
"Customer Service",M,111943,1991-03-01,1999-02-27,0
"Customer Service",F,111942,1994-05-02,1999-05-01,0
"Customer Service",M,111941,1992-09-28,1998-09-27,0
"Customer Service",M,111940,1996-09-20,2002-09-19,0
"Customer Service",M,111939,1997-07-08,9999-01-01,1
"Customer Service",F,111877,1995-08-16,1999-08-15,0
"Customer Service",F,111784,1993-02-10,1997-02-09,0
"Customer Service",F,111692,1991-05-20,2001-12-28,0
Research,F,111545,1999-05-29,9999-01-01,1
Research,M,111544,1993-06-20,1999-06-19,0
Research,M,111543,1997-06-12,2003-06-11,0
Research,M,111542,1995-07-19,9999-06-15,1
Research,M,111541,1996-03-26,2001-03-25,0
Research,F,111540,1993-05-04,1998-05-03,0
Research,F,111539,1994-06-13,2001-06-11,0
Research,M,111538,1994-01-14,1999-01-13,0
Research,M,111537,1992-06-13,1998-06-12,0
Research,M,111536,1997-09-21,9999-06-15,1
Research,F,111535,1996-06-12,1999-06-12,0
Research,F,111534,1991-01-30,1999-01-28,0
Research,M,111400,1990-03-11,1999-12-29,0
Sales,F,111150,2000-05-29,2005-04-27,0
Sales,M,111149,1999-05-29,2000-05-27,0
Sales,M,111148,1991-10-14,1997-10-12,0
Sales,F,111147,1995-10-06,2001-10-04,0
Sales,M,111146,1991-01-15,1996-01-14,0
Sales,M,111145,1990-01-05,1995-06-13,0
Sales,M,111144,1992-06-13,1999-06-12,0
Sales,F,111143,1991-11-21,1999-11-19,0
Sales,M,111142,1995-01-22,2000-01-21,0
Sales,F,111141,1993-06-20,1999-06-19,0
Sales,F,111140,1997-06-12,2003-06-11,0
Sales,M,111139,1995-07-19,9997-06-15,1
Sales,M,111138,1996-03-26,2001-03-25,0
Sales,M,111137,1993-05-04,1998-05-03,0
Sales,M,111136,1994-06-13,2001-06-11,0
Sales,M,111135,1994-01-14,1999-01-13,0
Sales,M,111134,1992-06-13,1998-06-12,0
Sales,M,111133,1991-12-29,1996-12-27,0
Sales,M,111035,1992-12-30,1998-12-29,0
"Quality Management",M,110869,1998-05-29,2000-11-27,0
"Quality Management",M,110868,1994-12-30,2000-12-28,0
"Quality Management",M,110867,1993-05-17,1998-05-16,0
"Quality Management",M,110866,1990-06-18,1994-12-23,0
"Quality Management",F,110865,1992-03-03,1997-03-02,0
"Quality Management",M,110864,1994-05-12,1999-05-11,0
"Quality Management",M,110863,1995-05-14,2001-05-12,0
"Quality Management",M,110862,1991-06-09,1999-06-07,0
"Quality Management",F,110861,1994-08-10,1999-08-09,0
